district,rainfall,humidity,wind_speed,temperature,lightning,risk
Mandya,103.14,51,13.07,24.94,22,Low
Ballari,215.69,81,33.21,31.6,21,Medium
Hassan,240.49,49,42.74,38.71,11,Medium
Gadag,202.04,31,34.84,31.87,17,Medium
Dharwad,12.47,53,33.33,31.59,22,Medium
Shivamogga,197.76,80,30.02,28.53,15,Medium
Kolar,132.17,41,47.58,31.41,13,Medium
Hassan,188.86,45,50.82,20.16,18,Medium
Ballari,171.02,64,40.96,31.82,21,Medium
Shivamogga,262.91,30,37.83,40.71,15,High
Belagavi,155.5,79,58.57,39.65,2,Medium
Uttara Kannada,17.83,52,34.12,18.01,7,Low
Uttara Kannada,266.63,68,10.12,38.92,16,Medium
Vijayanagara,84.46,63,55.07,26.45,22,Medium
Ramanagara,256.54,47,30.71,18.62,7,Medium
Kalaburagi,85.02,36,49.57,31.67,25,Medium
Raichur,40.15,61,41.05,21.49,24,Medium
Kolar,268.39,83,18.83,27.19,17,Medium
Bidar,348.66,58,20.43,35.5,20,Medium
Dharwad,259.31,91,14.64,41.74,7,Medium
Chamarajanagar,78.3,66,22.47,26.62,12,Low
Bengaluru Urban,47.91,93,40.46,23.58,12,Medium
Bengaluru Rural,189.17,47,53.42,21.9,2,Medium
Mysuru,239.9,54,48.87,38.44,23,High
Dharwad,340.36,61,50.56,32.09,19,High
Dharwad,116.43,86,5.81,21.32,4,Low
Gadag,259.37,74,33.71,36.63,20,Medium
Chamarajanagar,218.26,94,39.07,34.87,15,High
Chamarajanagar,306.83,63,2.66,29.96,25,Medium
Haveri,159.67,100,46.63,37.09,18,High
Haveri,308.34,41,24.77,24.9,21,Medium
Raichur,81.46,71,17.92,20.6,19,Low
Chitradurga,35.13,94,16.33,25.98,0,Low
Dharwad,292.29,32,15.38,21.75,0,Low
Bengaluru Rural,106.3,65,42.44,24.0,13,Medium
Gadag,256.4,36,7.57,29.09,17,Medium
Chitradurga,46.4,82,28.96,23.81,6,Medium
Mangaluru,117.32,94,1.02,24.83,8,Low
Chikkaballapur,146.0,95,48.21,21.55,5,Medium
Vijayapura,327.26,69,9.4,37.42,9,Medium
Kodagu,42.89,64,51.12,35.86,15,Medium
Bengaluru Rural,250.48,47,22.5,37.73,11,Medium
Chikkaballapur,104.49,83,24.9,27.29,23,Medium
Chikkamagaluru,225.71,95,37.6,38.78,2,Medium
Chamarajanagar,329.44,73,47.66,33.09,2,Medium
Chitradurga,26.29,82,42.92,29.22,16,Medium
Shivamogga,135.05,59,45.69,32.75,11,Medium
Vijayapura,159.6,77,34.93,36.11,8,Medium
Vijayapura,105.3,59,0.51,18.84,14,Low
Dharwad,298.48,83,23.08,35.85,21,High
Shivamogga,338.65,84,55.97,21.04,18,High
Ballari,91.15,97,51.79,25.78,1,Medium
Mysuru,279.69,37,25.17,32.24,6,Medium
Kolar,241.65,84,33.0,28.13,9,Medium
Mysuru,33.42,48,42.76,41.68,16,Medium
Bagalkot,230.31,51,25.78,25.9,18,Medium
Mangaluru,310.96,31,17.55,21.84,14,Medium
Bidar,195.16,92,1.11,21.85,14,Medium
Kodagu,222.89,50,10.28,21.66,22,Medium
Raichur,112.19,92,56.47,39.85,1,Medium
Dharwad,18.07,46,39.76,24.95,4,Low
Chitradurga,62.69,94,0.97,20.34,13,Medium
Haveri,24.12,77,38.22,40.77,15,Medium
Udupi,288.1,70,28.39,21.59,7,Medium
Kalaburagi,198.64,52,24.27,38.87,4,Low
Dharwad,160.12,63,11.72,35.92,7,Low
Ramanagara,260.94,73,18.71,33.95,7,Medium
Vijayapura,285.92,95,22.34,25.09,9,Medium
Dharwad,150.24,86,51.56,38.45,5,Medium
Davanagere,279.8,52,16.68,34.93,10,Medium
Chitradurga,148.59,60,0.09,38.14,18,Medium
Uttara Kannada,29.81,40,45.13,26.14,8,Medium
Ballari,327.19,83,19.87,19.43,19,Medium
Kodagu,204.75,35,38.83,34.44,14,Medium
Hassan,49.82,70,33.05,27.91,12,Low
Bengaluru Urban,170.47,52,3.94,22.82,22,Medium
Ramanagara,199.32,52,17.32,26.25,25,Medium
Uttara Kannada,317.67,53,9.01,28.99,4,Low
Mysuru,291.75,49,26.21,35.47,24,Medium
Uttara Kannada,134.59,43,35.36,21.0,23,Medium
Bagalkot,346.88,51,0.31,33.37,18,Medium
Hassan,110.35,100,6.94,28.86,21,Medium
Mysuru,107.14,33,41.68,35.39,9,Medium
Udupi,321.93,96,53.82,25.76,25,High
Chikkaballapur,38.19,34,9.54,37.94,5,Low
Udupi,230.87,50,21.86,22.21,5,Medium
Uttara Kannada,345.28,76,51.18,30.49,19,High
Chitradurga,59.16,67,17.41,39.04,12,Low
Shivamogga,214.91,40,46.69,32.1,17,Medium
Hassan,62.86,43,3.45,30.34,22,Low
Kolar,29.03,74,42.95,30.77,5,Low
Chamarajanagar,203.36,59,2.63,26.66,7,Low
Vijayanagara,59.56,51,22.61,24.29,3,Low
Chitradurga,270.23,48,25.1,28.41,14,Medium
Chitradurga,33.07,47,15.13,24.67,3,Low
Chikkamagaluru,166.87,51,44.94,21.7,16,Medium
Vijayapura,51.47,63,16.56,30.27,13,Low
Chitradurga,94.46,61,32.84,29.27,22,Medium
Shivamogga,89.36,42,43.84,30.02,2,Low
Chitradurga,265.67,68,32.33,30.99,9,Medium
Chikkamagaluru,214.57,35,32.84,38.31,7,Medium
Koppal,213.67,94,22.27,41.55,13,Medium
Tumakuru,95.33,58,6.47,26.33,12,Low
Chikkamagaluru,195.82,80,26.19,29.97,10,Medium
Uttara Kannada,15.98,96,46.28,18.27,10,Medium
Uttara Kannada,335.13,72,51.34,19.69,19,High
Chikkaballapur,278.5,67,34.95,38.31,21,Medium
Koppal,345.03,66,40.76,38.38,4,Medium
Uttara Kannada,339.97,79,15.85,33.12,16,Medium
Belagavi,54.64,76,4.91,18.23,5,Low
Koppal,100.62,71,58.85,39.41,2,Low
Tumakuru,35.42,94,44.58,20.74,23,Medium
Uttara Kannada,230.14,46,15.36,26.3,16,Medium
Bengaluru Urban,144.17,42,0.32,28.69,0,Low
Mangaluru,197.39,55,20.88,30.43,3,Low
Chitradurga,134.79,81,6.39,35.15,4,Low
Uttara Kannada,330.77,61,41.36,38.13,4,Medium
Bagalkot,227.14,61,39.76,38.42,6,Medium
Udupi,296.47,89,6.4,29.01,1,Medium
Shivamogga,2.35,73,59.01,18.19,2,Low
Kolar,325.01,76,51.31,40.04,14,High
Yadgir,192.65,31,27.91,34.66,9,Medium
Chikkamagaluru,247.5,96,47.63,32.73,1,Medium
Kalaburagi,289.45,72,52.27,19.07,1,Medium
Koppal,165.64,33,38.97,25.53,3,Medium
Mangaluru,45.35,35,36.07,32.03,14,Medium
Bagalkot,108.77,64,59.06,33.14,14,Medium
Raichur,85.48,95,46.17,22.01,6,Medium
Chamarajanagar,47.58,49,42.76,30.35,7,Medium
Bagalkot,322.19,47,50.32,29.41,11,Medium
Gadag,29.95,74,3.22,18.39,8,Low
Davanagere,75.17,92,10.28,29.03,20,Medium
Gadag,188.83,34,25.47,21.52,18,Medium
Tumakuru,329.04,90,34.37,18.66,8,Medium
Ballari,61.16,57,46.56,27.88,5,Low
Tumakuru,49.56,75,57.81,30.31,13,Medium
Ramanagara,337.45,52,8.4,40.58,0,Low
Haveri,46.86,100,58.81,23.94,18,Medium
Shivamogga,198.45,32,30.36,23.19,23,Medium
Yadgir,10.59,40,37.48,29.4,23,Medium
Kalaburagi,113.07,68,26.28,22.5,5,Low
Mandya,125.65,71,15.74,19.77,5,Low
Chikkaballapur,279.93,49,16.63,34.16,9,Medium
Hassan,330.79,48,4.26,32.24,21,Medium
Raichur,348.4,44,47.33,35.29,14,High
Gadag,204.76,97,30.45,32.06,8,Medium
Kolar,246.09,70,31.77,34.64,2,Medium
Kolar,251.13,99,56.88,28.44,4,Medium
Udupi,259.64,47,41.31,34.17,18,High
Mandya,45.5,91,54.8,19.75,20,Medium
Chamarajanagar,342.37,96,8.57,36.15,10,Medium
Dharwad,76.9,94,30.56,38.96,14,Medium
Hassan,156.83,36,11.91,30.53,21,Medium
Tumakuru,73.11,34,40.49,23.4,14,Medium
Belagavi,308.51,59,13.1,33.97,8,Medium
Chikkaballapur,13.36,62,6.33,22.76,12,Low
Uttara Kannada,112.52,85,42.05,31.15,23,Medium
Bidar,96.21,61,19.83,19.23,14,Low
Davanagere,106.01,50,25.01,26.82,4,Low
Kodagu,284.42,44,20.27,20.85,11,Medium
Shivamogga,18.47,39,1.64,31.96,20,Low
Vijayanagara,294.3,30,12.21,37.48,25,Medium
Hassan,33.75,64,21.75,35.04,8,Low
Belagavi,302.18,61,17.56,28.01,19,Medium
Chikkamagaluru,4.78,36,23.11,39.07,18,Medium
Vijayanagara,337.66,93,25.63,27.74,14,High
Belagavi,306.45,98,12.34,20.61,6,Medium
Bengaluru Urban,287.59,83,50.99,41.07,12,High
Kodagu,305.24,58,4.97,29.78,21,Medium
Vijayapura,130.54,99,20.39,30.49,7,Medium
Haveri,229.8,39,53.71,20.42,12,Medium
Uttara Kannada,222.78,63,39.18,26.9,11,Medium
Davanagere,222.97,48,54.72,20.21,5,Medium
Udupi,173.52,40,11.02,26.35,23,Medium
Kolar,50.99,97,52.2,36.78,0,Medium
Chikkamagaluru,7.49,73,4.91,30.03,9,Low
Mysuru,153.83,39,57.83,32.91,7,Medium
Ramanagara,204.19,98,58.77,41.3,8,Medium
Raichur,308.75,82,25.17,24.32,13,High
Vijayapura,210.51,97,7.07,38.47,19,Medium
Chikkaballapur,103.92,87,51.21,21.06,23,Medium
Kolar,82.28,74,33.99,18.51,8,Low
Ramanagara,298.81,98,27.02,31.85,13,High
Raichur,172.69,88,54.73,20.01,14,High
Raichur,237.3,49,6.14,37.04,1,Low
Shivamogga,176.96,91,11.2,36.92,10,Medium
Udupi,52.22,43,29.81,36.22,18,Medium
Mangaluru,25.51,80,41.86,28.27,9,Medium
Raichur,176.45,94,54.27,36.52,0,Medium
Bagalkot,94.55,41,16.14,21.4,2,Low
Vijayapura,205.56,77,30.41,32.98,1,Low
Dharwad,152.34,78,17.54,32.77,9,Low
Bagalkot,21.68,35,13.88,32.05,0,Low
Dharwad,195.74,100,57.36,24.04,1,Medium
Kodagu,218.64,76,44.23,34.08,14,Medium
Chitradurga,50.7,31,7.02,27.6,9,Low
Kodagu,224.57,34,49.5,33.93,0,Medium
Vijayanagara,294.0,59,12.43,34.25,25,Medium
Vijayapura,88.01,68,39.13,27.52,14,Medium
Hassan,248.04,33,58.1,27.85,16,High
Bidar,306.99,89,3.34,26.75,12,Medium
Raichur,308.32,64,37.98,37.38,20,High
Gadag,196.75,64,11.71,31.08,21,Medium
Raichur,210.64,33,50.21,26.03,4,Medium
Haveri,4.98,34,4.06,35.04,1,Low
Uttara Kannada,46.9,66,40.29,24.86,11,Medium
Bengaluru Urban,60.3,60,16.76,40.86,25,Low
Mandya,228.6,56,29.9,25.62,11,Medium
Ballari,30.54,85,17.97,21.91,20,Medium
Bagalkot,21.53,93,26.61,40.67,7,Medium
Haveri,126.19,46,43.94,27.64,16,Medium
Shivamogga,95.96,88,37.54,40.79,25,Medium
Vijayapura,271.79,68,28.95,31.35,22,Medium
Raichur,214.73,75,47.61,32.66,10,Medium
Koppal,42.9,54,59.95,27.27,6,Medium
Bengaluru Urban,347.82,81,33.43,26.1,3,Medium
Haveri,25.72,89,4.87,35.41,13,Medium
Belagavi,31.56,72,23.94,34.48,3,Low
Bagalkot,108.59,47,36.8,39.62,1,Low
Mysuru,336.63,52,55.75,36.57,22,High
Kodagu,21.28,41,47.68,21.04,14,Medium
Ballari,7.21,32,52.32,21.99,5,Low
Belagavi,4.1,74,59.34,31.45,22,Medium
Chitradurga,260.85,44,19.91,21.36,25,Medium
Haveri,339.27,87,9.3,24.84,12,Medium
Mangaluru,16.08,51,11.96,34.06,24,Low
Uttara Kannada,164.34,68,3.59,35.3,18,Medium
Kolar,267.29,92,44.17,24.9,8,High
Bagalkot,229.03,33,36.4,34.97,14,High
Uttara Kannada,116.58,85,13.9,26.04,7,Low
Bengaluru Urban,307.78,43,39.42,34.39,24,High
Chikkamagaluru,333.67,86,48.79,28.75,13,High
Chikkamagaluru,59.14,87,8.86,28.91,7,Low
Dharwad,39.38,43,12.36,40.96,8,Low
Bidar,272.76,61,56.69,38.28,18,High
Dharwad,139.94,73,21.0,20.98,6,Medium
Mandya,42.74,79,47.08,31.23,4,Low
Gadag,328.1,38,39.87,25.12,11,Medium
Uttara Kannada,87.27,50,14.04,38.79,9,Low
Kodagu,254.61,30,59.54,24.02,17,High
Chitradurga,245.02,63,43.82,36.89,14,High
Bidar,278.41,99,12.22,35.2,11,Medium
Kolar,12.36,71,23.06,27.54,17,Medium
Udupi,183.65,97,41.17,19.73,15,High
Kodagu,244.87,98,10.66,30.26,5,Medium
Ballari,138.39,83,15.14,18.09,12,Medium
Mandya,77.4,32,36.73,22.99,2,Low
Bagalkot,153.93,95,0.1,29.28,20,Medium
Uttara Kannada,95.95,40,48.37,27.32,20,Medium
Chamarajanagar,10.11,34,34.88,34.43,20,Medium
Belagavi,305.58,61,54.59,19.64,23,High
Vijayanagara,326.83,75,30.72,24.56,4,Medium
Ramanagara,6.59,77,55.46,19.91,7,Medium
Tumakuru,235.2,89,55.21,31.02,14,High
Bagalkot,222.47,99,15.34,33.54,24,Medium
Yadgir,337.33,41,26.63,35.63,7,Medium
Gadag,281.92,48,20.38,34.41,15,Medium
Chitradurga,84.75,82,4.05,25.58,5,Low
Yadgir,176.26,48,39.42,25.91,11,Medium
Ballari,24.04,75,54.65,31.79,5,Low
Mangaluru,343.29,34,2.68,26.98,9,Medium
Kolar,154.96,94,9.45,20.86,11,Medium
Mandya,106.05,59,22.55,20.3,24,Medium
Ballari,249.73,34,44.01,41.24,0,Medium
Raichur,138.36,93,31.2,18.96,21,Medium
Vijayanagara,84.55,77,10.49,19.11,24,Low
Kalaburagi,132.35,65,5.53,22.8,1,Low
Davanagere,265.78,58,19.64,18.45,24,Medium
Ballari,113.49,41,34.7,37.8,17,Medium
Kolar,346.17,88,2.98,22.88,7,Medium
Kodagu,94.49,41,6.93,36.2,18,Low
Koppal,281.45,63,8.02,29.27,15,Medium
Mandya,45.37,79,43.94,38.87,10,Medium
Haveri,269.65,43,31.04,25.4,24,Medium
Ramanagara,138.82,91,23.6,28.21,8,Medium
Mangaluru,203.17,86,17.53,20.85,5,Low
Chitradurga,142.22,69,45.97,19.5,23,Medium
Chikkaballapur,37.69,69,46.8,28.18,2,Low
Bidar,172.6,51,22.91,32.3,5,Low
Chamarajanagar,98.63,41,9.57,31.33,1,Low
Bagalkot,72.99,48,55.8,27.37,0,Low
Ballari,261.61,76,46.85,36.79,0,Medium
Chitradurga,134.59,75,7.66,39.03,12,Low
Koppal,135.48,34,44.19,24.43,8,Medium
Tumakuru,111.94,87,31.8,24.95,3,Low
Vijayapura,244.86,55,51.63,39.58,19,High
Chikkamagaluru,301.68,83,27.94,19.44,24,High
Haveri,135.63,36,42.08,25.12,21,Medium
Vijayanagara,17.07,79,17.91,25.1,24,Low
Koppal,129.19,52,50.5,30.57,25,Medium
Vijayapura,248.17,58,58.06,32.06,24,High
Bagalkot,109.13,78,1.05,36.77,23,Low
Bidar,322.23,73,26.81,27.35,5,Medium
Kalaburagi,149.9,97,19.08,24.26,0,Low
Shivamogga,62.3,80,44.6,25.44,23,Medium
Haveri,90.46,46,56.37,27.55,4,Low
Koppal,293.47,73,44.16,24.78,13,High
Belagavi,256.63,60,10.68,36.62,1,Low
Mandya,1.35,75,47.96,37.21,24,Medium
Ramanagara,150.9,98,45.94,21.07,25,High
Kolar,17.72,54,5.0,20.83,22,Low
Kalaburagi,187.94,91,48.69,36.76,8,Medium
Kolar,327.34,91,12.49,38.54,18,Medium
Bengaluru Rural,260.68,32,20.39,28.23,17,Medium
Ballari,112.13,73,16.97,32.35,25,Low
Mangaluru,237.81,52,11.73,36.64,14,Medium
Bagalkot,175.82,75,17.4,27.91,0,Low
Shivamogga,55.96,59,30.84,27.9,19,Medium
Tumakuru,181.43,91,37.9,18.52,17,High
Kodagu,348.3,90,26.86,26.67,18,High
Vijayapura,167.64,65,37.69,34.96,8,Medium
Dharwad,205.83,98,26.46,23.22,23,Medium
Ballari,339.03,30,18.5,37.01,18,Medium
Belagavi,264.45,82,38.14,38.49,13,High
Vijayanagara,348.93,91,22.56,30.04,16,High
Kolar,176.65,88,34.71,20.87,25,Medium
Vijayanagara,190.8,97,29.84,33.31,0,Medium
Kalaburagi,177.55,96,51.01,22.31,12,Medium
Hassan,272.3,52,42.73,24.05,3,Medium
Mysuru,73.95,91,20.9,29.98,1,Low
Vijayapura,155.29,65,26.82,23.24,15,Medium
Tumakuru,223.45,95,4.32,28.02,10,Medium
Kodagu,117.18,40,57.4,39.87,16,Medium
Koppal,61.22,81,56.5,39.67,1,Medium
Udupi,158.71,46,34.26,34.13,25,Medium
Tumakuru,293.86,55,38.15,19.48,11,Medium
Bagalkot,125.01,63,46.49,35.27,17,Medium
Raichur,333.75,74,18.0,21.88,14,Medium
Ballari,331.35,52,37.27,36.19,0,Medium
Ballari,27.53,59,17.09,41.07,15,Low
Mangaluru,58.9,38,26.65,41.86,0,Low
Dharwad,303.6,76,20.52,29.1,5,Medium
Hassan,229.67,56,49.16,36.1,3,Medium
Kodagu,98.37,78,1.6,32.91,22,Low
Bengaluru Rural,144.53,72,26.54,20.28,8,Medium
Chamarajanagar,339.23,59,35.56,39.96,17,High
Kodagu,40.04,88,26.82,18.83,20,Medium
Gadag,329.39,90,26.16,28.87,22,High
Chitradurga,321.64,32,31.53,18.58,10,Medium
Koppal,178.04,70,9.9,36.22,12,Low
Bidar,348.25,83,39.79,34.8,0,Medium
Shivamogga,243.04,50,1.57,31.46,23,Medium
Uttara Kannada,65.78,70,47.27,33.94,16,Medium
Chitradurga,344.35,48,16.94,26.99,10,Medium
Raichur,81.39,73,24.68,29.65,10,Low
Kalaburagi,182.73,93,54.77,22.57,8,Medium
Bengaluru Urban,129.82,89,58.28,26.57,3,Medium
Hassan,5.36,55,5.9,37.28,4,Low
Kodagu,186.58,60,14.91,39.58,1,Low
Udupi,340.49,45,27.78,31.19,17,Medium
Vijayanagara,45.99,65,51.93,18.84,13,Medium
Mandya,100.9,56,32.2,41.25,25,Medium
Gadag,134.51,100,22.26,25.86,3,Medium
Kalaburagi,78.06,86,19.43,27.05,4,Low
Ramanagara,308.48,65,7.41,24.7,18,Medium
Kodagu,254.86,98,36.42,33.27,8,High
Mysuru,240.85,34,13.39,35.76,17,Medium
Koppal,126.22,36,20.55,34.4,17,Medium
Ballari,296.86,78,48.28,38.69,19,High
Mysuru,128.93,55,16.47,27.82,10,Low
Chamarajanagar,102.09,57,19.41,22.61,15,Low
Vijayanagara,34.04,35,43.63,36.81,23,Medium
Tumakuru,200.02,46,15.19,32.57,22,Medium
Kalaburagi,68.85,83,6.21,20.16,4,Low
Mysuru,40.56,40,43.27,33.96,6,Medium
Gadag,2.67,53,21.51,24.23,16,Medium
Bengaluru Rural,158.63,87,23.67,39.67,1,Medium
Raichur,23.8,67,21.9,41.38,11,Low
Koppal,148.1,72,25.54,23.48,20,Medium
Udupi,252.83,37,5.02,21.07,3,Low
Bagalkot,74.94,64,27.87,40.58,9,Low
Ramanagara,58.05,86,16.11,25.16,0,Low
Uttara Kannada,68.82,63,39.74,28.76,9,Medium
Bidar,224.23,34,3.54,31.68,11,Medium
Davanagere,263.5,76,45.86,23.5,16,High
Chikkaballapur,337.37,79,23.65,41.02,16,Medium
Chamarajanagar,174.56,59,30.45,31.05,0,Low
Bengaluru Rural,305.58,88,23.88,31.48,9,Medium
Udupi,29.01,74,2.47,34.42,24,Low
Hassan,2.14,71,51.01,31.75,9,Medium
Hassan,105.44,51,34.96,26.21,13,Medium
Tumakuru,54.39,67,35.12,25.82,2,Low
Hassan,53.42,99,1.99,30.11,3,Low
Vijayapura,315.1,85,51.55,23.87,17,High
Uttara Kannada,257.22,70,9.49,38.64,24,Medium
Haveri,164.05,75,3.8,22.34,22,Medium
Dharwad,241.92,38,8.32,38.36,1,Low
Kolar,200.93,67,57.4,39.7,17,Medium
Bengaluru Urban,163.58,70,29.66,19.32,15,Medium
Bengaluru Rural,120.92,63,11.34,36.77,21,Medium
Koppal,258.98,62,25.06,19.88,9,Medium
Shivamogga,334.95,56,17.99,27.59,23,Medium
Chitradurga,303.53,92,39.27,28.53,18,High
Bengaluru Rural,179.67,97,33.33,41.08,7,Medium
Ballari,181.69,39,7.82,21.93,11,Low
Mangaluru,348.16,43,59.14,36.12,3,Medium
Udupi,268.09,97,14.29,25.8,8,Medium
Chikkaballapur,153.47,74,38.5,23.43,16,Medium
Kolar,28.71,62,22.41,18.6,0,Low
Hassan,343.48,38,37.33,20.88,2,Medium
Chitradurga,157.64,48,10.91,24.28,19,Medium
Belagavi,147.29,34,15.53,32.13,9,Low
Yadgir,321.38,80,40.52,36.89,24,High
Chikkaballapur,174.77,86,39.32,18.5,20,High
Haveri,81.9,75,54.59,25.46,19,Medium
Bengaluru Rural,317.64,30,2.03,38.56,5,Low
Bengaluru Rural,332.95,46,17.37,40.7,1,Low
Bengaluru Urban,243.76,52,8.02,26.11,21,Medium
Vijayanagara,116.07,57,51.94,32.07,14,Medium
Bidar,49.75,42,48.48,34.41,24,Medium
Ramanagara,146.66,73,34.54,31.88,18,Medium
Ramanagara,162.51,43,0.66,19.9,16,Medium
Haveri,2.37,91,1.08,36.9,0,Low
Belagavi,157.65,42,9.92,28.87,21,Medium
Yadgir,131.06,31,33.93,19.27,14,Medium
Haveri,186.36,88,10.09,20.72,24,Medium
Dharwad,147.66,73,11.42,30.11,15,Medium
Raichur,100.17,97,37.59,25.5,9,Medium
Chamarajanagar,335.92,49,6.09,23.85,3,Low
Haveri,151.43,81,44.06,41.18,15,High
Mangaluru,80.8,99,58.07,33.44,5,Medium
Dharwad,314.61,90,9.16,28.65,2,Medium
Bengaluru Urban,99.12,81,50.37,40.73,19,Medium
Uttara Kannada,37.62,60,32.71,28.97,16,Medium
Bagalkot,62.08,97,44.98,22.91,20,Medium
Vijayanagara,310.84,77,35.42,31.21,2,Medium
Uttara Kannada,180.76,66,58.54,33.46,19,Medium
Davanagere,209.23,84,56.5,41.04,11,Medium
Koppal,238.13,94,39.69,29.33,1,Medium
Shivamogga,259.4,70,7.03,21.78,12,Medium
Kodagu,256.4,78,51.66,36.92,11,Medium
Shivamogga,91.93,63,16.49,29.69,20,Low
Chamarajanagar,86.37,90,25.96,26.23,15,Medium
Dharwad,140.28,60,17.41,36.75,12,Low
Gadag,43.22,33,57.86,33.56,2,Low
Chikkaballapur,200.9,79,21.5,22.77,3,Low
Haveri,207.29,55,7.43,33.84,8,Low
Hassan,293.56,70,0.54,24.64,18,Medium
Shivamogga,131.97,54,6.08,38.0,1,Low
Tumakuru,98.25,61,6.76,21.84,1,Low
Kodagu,324.73,62,44.51,25.48,5,Medium
Belagavi,177.57,69,29.73,19.8,24,Medium
Bagalkot,114.74,35,4.92,39.42,23,Low
Ramanagara,82.45,50,52.06,21.14,9,Medium
Tumakuru,33.27,93,57.36,28.46,1,Medium
Raichur,116.77,39,1.53,37.45,10,Low
Ballari,302.2,83,28.55,41.42,7,Medium
Kalaburagi,302.98,86,7.59,31.01,3,Medium
Hassan,194.06,32,45.35,37.33,12,Medium
Gadag,4.71,62,54.53,35.21,20,Medium
Kolar,327.52,80,27.77,38.91,1,Medium
Chitradurga,148.31,86,47.17,32.35,24,High
Belagavi,74.96,50,20.63,34.58,24,Medium
Mysuru,82.36,61,19.55,37.57,22,Low
Koppal,138.38,44,10.91,28.33,1,Low
Mangaluru,246.6,63,2.12,34.41,18,Medium
Shivamogga,270.76,57,39.15,39.97,18,High
Vijayanagara,15.7,81,49.93,34.25,9,Medium
Bengaluru Urban,323.92,35,58.66,26.2,11,Medium
Kalaburagi,166.34,93,11.42,25.85,17,Medium
Koppal,171.62,50,35.79,27.36,24,Medium
Udupi,308.94,60,4.21,21.54,16,Medium
Mangaluru,238.54,73,50.1,26.19,1,Medium
Chamarajanagar,35.01,44,49.98,18.3,18,Medium
Chikkamagaluru,167.98,70,54.63,32.75,14,Medium
Dharwad,132.46,86,43.05,40.84,18,High
Shivamogga,268.25,82,1.27,37.9,0,Medium
Bengaluru Rural,224.08,45,33.88,27.38,13,Medium
Mangaluru,163.12,99,40.27,27.26,23,High
Ramanagara,180.56,64,16.14,18.0,12,Low
Shivamogga,100.57,99,2.15,19.05,19,Medium
Yadgir,247.42,61,41.48,33.26,11,Medium
Vijayapura,297.18,47,3.98,29.95,8,Medium
Dharwad,285.77,40,53.75,30.11,17,High
Ramanagara,108.63,47,36.99,24.62,19,Medium
Dharwad,65.99,42,38.95,37.5,4,Low
Kodagu,259.96,97,30.93,36.3,8,Medium
Vijayanagara,122.48,59,14.22,34.57,18,Medium
Raichur,118.21,37,15.64,24.56,18,Low
Udupi,94.58,100,55.73,36.28,9,Medium
Bidar,80.85,61,4.12,33.49,14,Low
Gadag,57.93,89,28.32,23.94,4,Low
Hassan,121.06,96,14.81,38.51,16,Medium
Udupi,259.83,37,8.48,20.12,4,Low
Yadgir,319.48,55,29.67,33.07,12,Medium
Vijayanagara,220.91,35,33.73,39.51,3,Medium
Belagavi,199.61,88,56.4,29.4,15,High
Bengaluru Urban,19.73,65,8.63,35.96,20,Low
Davanagere,334.57,53,10.71,26.82,6,Medium
Raichur,223.36,67,42.4,36.22,8,Medium
Tumakuru,336.22,46,9.89,26.1,12,Medium
Kolar,4.43,38,17.95,21.37,20,Low
Chikkamagaluru,177.97,64,18.49,29.77,0,Low
Chikkamagaluru,15.64,43,10.78,24.97,25,Low
Udupi,155.4,82,58.84,34.06,16,High
Belagavi,349.6,85,26.89,19.68,14,High
Bagalkot,251.98,37,16.03,18.96,14,Medium
Shivamogga,306.31,57,54.85,38.69,13,High
Chamarajanagar,47.91,64,0.37,20.95,25,Low
Tumakuru,299.0,33,48.3,35.05,23,High
Vijayapura,63.26,90,34.18,38.3,12,Medium
Kodagu,219.93,35,57.4,23.22,1,Medium
Koppal,234.65,91,46.48,23.64,18,High
Bengaluru Urban,3.57,56,10.18,26.47,0,Low
Bengaluru Rural,197.57,83,12.57,24.38,2,Low
Bidar,264.68,38,51.12,27.62,23,High
Koppal,126.9,85,51.62,28.52,20,High
Kodagu,83.19,87,31.09,32.16,0,Low
Yadgir,30.24,72,39.07,22.07,4,Low
Mangaluru,291.72,47,52.38,33.81,1,Medium
Chitradurga,109.84,34,3.74,33.27,11,Low
Ramanagara,142.59,100,56.88,18.86,25,High
Dharwad,27.15,73,48.5,26.17,9,Medium
Hassan,286.84,40,55.42,32.31,0,Medium
Belagavi,268.53,61,55.22,41.0,0,Medium
Bengaluru Rural,54.98,37,30.07,39.18,23,Medium
Bengaluru Rural,277.94,42,53.09,18.84,19,High
Kolar,196.83,45,43.08,21.53,13,Medium
Shivamogga,342.29,84,55.43,31.26,3,Medium
Belagavi,156.38,51,2.5,29.0,3,Low
Davanagere,291.45,88,46.1,40.47,21,High
Hassan,258.81,92,18.48,37.2,20,Medium
Vijayapura,191.1,60,29.66,37.21,7,Medium
Uttara Kannada,113.72,50,30.49,21.97,12,Low
Bagalkot,3.88,58,22.35,20.27,11,Low
Davanagere,30.47,71,29.53,30.24,12,Low
Vijayanagara,291.58,60,44.52,28.59,14,High
Chamarajanagar,36.03,80,56.56,33.63,6,Medium
Dharwad,94.51,63,26.8,34.75,12,Low
Tumakuru,235.77,64,25.93,30.72,6,Medium
Shivamogga,137.53,41,11.05,22.28,14,Medium
Ballari,147.51,35,4.38,41.67,17,Medium
Bidar,25.86,56,55.72,26.0,13,Medium
Gadag,101.91,99,43.76,22.81,5,Medium
